Log Temuan,Kategori,cleaned_text
"1) Panjang Maximum belum sesuai2) Pada nama pos tidak ada spasi3) Pada penulisan bulan masih digabung4) Perbedaan penulisan pada hasil log error ""Mudharabah""sedangkan pada strukdat ""Mudarabah""5) Pada penambahan nama pos ""Piutang Lainnya"" dan ""Ijarah"" belum ada pada hasil log error6) Perbedaan penulisan pada hasil log error "" Pembiayaan Sewa"" sedangkan pada strukdat ""Piutang Sewa"" 7) Pada penambahan nama pos ""Lainnya""belum ada pada hasil log error8) Pada penulisan jenis pengimpunan/penyaluran dana berbeda pada hasil log error dan strukdat9) Pada pesan validasinya untuk nama pos masih ke detect kolom yang berwarna merah, sedangkan isi txt nya sudah sesuai sama strukdatnya",Mayor,1 maximum belum sesuai 2 nama pos tidak spasi 3 penulisan gabung 4 perbedaan penulisan hasil log error mudharabah struktur data mudarabah 5 penambahan nama pos piutang ijarah belum hasil log error 6 perbedaan penulisan hasil log error pembiayaan sewa gkan struktur data piutang sewa 7 penambahan nama pos belum hasil log error 8 penulisan jenis pengimpunan penyaluran dana berbeda hasil log error struktur data 9 pesan validasi nama pos detect kolom ber warna merah gkan isi txt sesuai strukdatnya
"1. Harap konsisten untuk memunculkan pesan error 2. terdapat = double di semua kode komponen, tolong konsisten hasil yg benarnya3. pada rumus blm ada spasi sehingga semua kata masih gabung 4. kode komponen 020201010101020000 blm sesuai karena seharusnya yg benar Mudarabah5. rumus pada kode komponen 020201010200000000 blm sesuai strukdat6. rumus pada kode komponen 020201010300000000 blm sesuai strukdat7. rumus pada kode komponen 020201020300000000 blm sesuai strukdat + kata2 di rumus blm ada spasi8. rumus pada kode komponen 020206020000000000 blm sesuai strukdat9. rumus pada kode komponen 020206030000000000 blm sesuai strukdat",Mayor,1 harap konsisten me muncul pesan error 2 double kode komponen tolong konsisten hasil benarnya 3 rumus belum spasi gabung 4 kode komponen 020201010101020000 belum sesuai mudarabah 5 rumus kode komponen 020201010200000000 belum sesuai struktur data 6 rumus kode komponen 020201010300000000 belum sesuai struktur data 7 rumus kode komponen 020201020300000000 belum sesuai struktur data 2 rumus belum spasi 8 rumus kode komponen 020206020000000000 belum sesuai struktur data 9 rumus kode komponen 020206030000000000 belum sesuai struktur data
1. nama kolom blm sesuai strukdat2. rumus pada kode komponen 060201010202020000 blm sesuai srtukdat3.blm ada rumus yg sesuai strukdat pada kode komponen 060202000000000000,Mayor,1 nama kolom belum sesuai struktur data 2 rumus kode komponen 060201010202020000 belum sesuai srtukdat 3 belum rumus sesuai struktur data kode komponen 060202000000000000
"pada hasil log error muncul keterangan hanya header, tetapi pada strukdat terdapat penyesuaian",Mayor,hasil log error muncul terangan header struktur data penyesuaian
"Pada baris 15 (010201140000000000), baris 27 (010202230000000000), dan baris 28 (010202240000000000)  tidak ada rumus ""pos penambahan jika ada""",Mayor,baris 15 010201140000000000 baris 27 010202230000000000 baris 28 010202240000000000 tidak rumus pos penambahan
data di strukdat dengan txt beda,Fatal,data struktur data txt beda
Data pada strukdat dengan txt belum sesuai,Fatal,data struktur data txt belum sesuai
data di strukdat dengan txt beda,Fatal,data struktur data txt beda
data di strukdat dengan txt beda,Fatal,data struktur data txt beda
kode komponen tidak sesuai,Fatal,kode komponen tidak sesuai
Pada Jumlah kolom strukdat dengan txt belum sesuai,Mayor,kolom struktur data txt belum sesuai
Pada kode komponen dan nama pos belum sesuai dengan strukdat dan tamplate,Mayor,kode komponen nama pos belum sesuai struktur data tamplate
"Pada hasil generate tidak ada \"".\"" dibelakang titik dan angka berbeda dengan template",Mayor,hasil generate tidak bel tidak titik angka berbeda template
"1. Label kolom tidak sesuai dengan strukdat2. Nama kolom tidak sesuai dengan strukdat3 panjang kolom tidak sesuai dengan strukdat4. nama komponen masih banyak yg typo ga sesuai, make sure ke template5. pesan error pada kode komponen 090203110000000000 blm ada 6. rumus pada kode komponen 090202050000000000 blm sesuai7. label pada kode komponen 090204060000000000 blm sesuai8. panjang maksimal & nama kolom & label kolom blm sesuai strukdat",Mayor,1 label kolom tidak sesuai struktur data 2 nama kolom tidak sesuai struktur data 3 kolom tidak sesuai struktur data 4 nama komponen typo tidak sesuai make sure template 5 pesan error kode komponen 090203110000000000 belum 6 rumus kode komponen 090202050000000000 belum sesuai 7 label kode komponen 090204060000000000 belum sesuai 8 maksimal nama kolom label kolom belum sesuai struktur data
"Pada hasil generate tidak ada \"".\"" dibelakang titik dan jumlah total berbeda dengan tamplate",Mayor,hasil generate tidak bel tidak titik total berbeda tamplate
1. Label nama kolom blm sesuai strukdat 2.label seharunya jumlah pihak terkait make sure client sudah sesuai dengan strukdat sehingga minimalisir perbedaan rumus yg terlalu signifikan,Mayor,1 label nama kolom belum sesuai struktur data 2 label seharunya terkait make sure client sesuai struktur data malisir perbedaan rumus signifikan
Perhatikan perbedaan antara penjumlahan rumus antar kolom dan baris. Tolong lebih teliti dalam memahami temuannya1. Labeling di kode komponen 050201060303000000 blm sesuai2. Labeling di kode komponen 050201070000000000blm sesuai3. Labeling di kode komponen 050201090000000000 blm sesuai4. label dan rumus di kode komponen 050202000000000000 blm sesuai5. Labeling di kode komponen 050202010000000000 blm sesuai6. Labeling di kode komponen 050202101000000000 blm sesuai7. Labeling di kode komponen 050202102000000000 blm sesuai8. Labeling di kode komponen 050202040000000000 blm sesuai9. Labeling di kode komponen 050202050000000000 blm sesuai10. Labeling di kode komponen 050202060000000000 blm sesuai11. Labeling di kode komponen 050202070000000000 blm sesuai12. Labeling di kode komponen 050202080000000000 blm sesuai13. Labeling di kode komponen 050202090000000000 blm sesuai14. Rumus di kode komponen 050203010000000000 blm sesuai,Mayor,perhatikan perbedaan penjumlahan rumus kolom baris tolong teliti memahami temuannya 1 labeling kode komponen 050201060303000000 belum sesuai 2 labeling kode komponen 050201070000000000 belum sesuai 3 labeling kode komponen 050201090000000000 belum sesuai 4 label rumus kode komponen 050202000000000000 belum sesuai 5 labeling kode komponen 050202010000000000 belum sesuai 6 labeling kode komponen 050202101000000000 belum sesuai 7 labeling kode komponen 050202102000000000 belum sesuai 8 labeling kode komponen 050202040000000000 belum sesuai 9 labeling kode komponen 050202050000000000 belum sesuai 10 labeling kode komponen 050202060000000000 belum sesuai 11 labeling kode komponen 050202070000000000 belum sesuai 12 labeling kode komponen 050202080000000000 belum sesuai 13 labeling kode komponen 050202090000000000 belum sesuai 14 rumus kode komponen 050203010000000000 belum sesuai
Pada kolom hasil log error belum sesuai dengan strukdat,Mayor,kolom hasil log error belum sesuai struktur data
"1. hasil generate tidak sesuai (pada template value berupa nilai decimal)2. terdapat kata ""Catatan:"" didalam Kolom Catatan3.bagian judul kolom ""Pos-Pos"" harus di merge dengan row dibawahnya4. terdapat simbol-simbol yang tidak relevan pada penamaan kolom5. nama pos tidak sesuai dengan template6. nama pos tidak sesuai dengan template7. nama pos tidak sesuai dengan template8. pada field dropdown masih berbeda dengan judul Form 02B9. pada hasil download excel, kolom isi catatan tidak sejajar10. pada hasil download pdf, label dengan tabel terlalu nempel di hal. 2-4",Minor,1 hasil generate tidak sesuai template value nilai decimal 2 catatan didalam kolom catatan 3 judul kolom pos pos merge row bawahnya 4 simbol simbol tidak relevan penamaan kolom 5 nama pos tidak sesuai template 6 nama pos tidak sesuai template 7 nama pos tidak sesuai template 8 field dropdown berbeda judul form 02 9 hasil download excel kolom isi catatan tidak sejajar 10 hasil download pdf label tabel nempel halaman 2 4
"1. typo kalimat row-. typo seharusnya ""Pos-Pos""-. typo seharusnya ""Nilai Notional""-. typo seharusnya ""Trading""-. tambahkan kata ""Triwulan"" pada judul dokumen hasil generate2. terdapat kata ""Catatan:"" didalam Kolom Catatan3.  bagian kolom ""Transaksi"" harus di merge dengan row diatas dan dibawahnya4. judul hasil generate berbeda dengan judul Form 04B5. pada hasil download excel, kolom isi catatan tidak sejajar",Kosmetik,1 typo kalimat row typo pos pos typo nilai notional typo trading triwulan judul dokumen hasil generate 2 catatan didalam kolom catatan 3 kolom transaksi merge row diatas bawahnya 4 judul hasil generate berbeda judul form 04 5 hasil download excel kolom isi catatan tidak sejajar
"1. hasil generate tidak sesuai (pada template ""Pembiayaan bagi hasil"")2. bagian kolom ""Pos-Pos"" harus di merge dengan row dibawahnya3. warna abu pada preview web belum sesuai4. tidak ada tanda titik dua "":"" pada kata dijaminkan dan kolom catatan tidak ada isinya",Kosmetik,1 hasil generate tidak sesuai template pembiayaan hasil 2 kolom pos pos merge row bawahnya 3 warna abu preview web belum sesuai 4 tidak tanda titik jaminkan kolom catatan tidak isinya
"1. bagian kolom ""Pos-Pos"" harus di merge dengan row dibawahnya2. pada field dropdown masih berbeda dengan judul Form 01B3. pada hasil download excel, isi pada label tidak sejajar",Minor,1 kolom pos pos merge row bawahnya 2 field dropdown berbeda judul form 01 3 hasil download excel isi label tidak sejajar
"1. hasil setelah generate tampilan tidak rapi- pada downlaod excel terdapat row yang value-nya tidak visible- pada pdf dan preview terdapat space sebelum teks pada nama pos-pos (halaman 1&2)2. bagian judul kolom ""Pos-Pos"" harus di merge dengan row dibawahnya3. terdapat simbol-simbol yang tidak relevan pada penamaan kolom4. nama pos belum sesuai template5. nama pos tidak muncul pada preview dan tidak sesuai template6. pada preview nama ""CET 1"" seharusnya tidak ada spasi dan ""AT-1"" seharusnya tidak menggunakan tanda strip (-), isi data pada angka tidak sesuai template7. kolom catatan tidak ada isinya dan pada hasil preview muncul keterangan8. pada hasil download pdf, ada kelebihan halaman",Mayor,1 hasil generate tampilan tidak rapi downlaod excel row value tidak visible pdf preview space teks nama pos pos halaman 1 2 2 judul kolom pos pos merge row bawahnya 3 simbol simbol tidak relevan penamaan kolom 4 nama pos belum sesuai template 5 nama pos tidak muncul preview tidak sesuai template 6 preview nama cet 1 tidak spasi at 1 tidak menggun tanda strip isi data angka tidak sesuai template 7 kolom catatan tidak isinya hasil preview muncul terangan 8 hasil download pdf an halaman
"1. typo seharusnya ""PPKA"" bukan ""PPA""2. nama kolom yang ditandai harus disamakan dengan template3. bagian judul kolom ""Pos-Pos"" harus di merge dengan row diatas dan dibawahnya4. judul form pada field dropdown dan hasil preview masih berbeda dengan judul pada template Form 07B5. penomoran tidak sesuai dan kata ""mudharabah"" seharusnya 'mudarabah'6. kolom catatan tidak ada isinya7. pada hasil download excel kolom catatan tidak sejajar",Minor,1 typo ppka bukan ppa 2 nama kolom tandai sam template 3 judul kolom pos pos merge row diatas bawahnya 4 judul form field dropdown hasil preview berbeda judul template form 07 5 penomoran tidak sesuai mudharabah mudarabah 6 kolom catatan tidak isinya 7 hasil download excel kolom catatan tidak sejajar
"1.bagian judul kolom ""Pos-Pos"" harus di merge dengan row  dibawahnya dan rata tengah2. terdapat simbol-simbol yang tidak relevan pada penamaan kolom3. pada hasil download excel, kolom isi catatan tidak sejajar",Minor,1 judul kolom pos pos merge row bawahnya rata tengah 2 simbol simbol tidak relevan penamaan kolom 3 hasil download excel kolom isi catatan tidak sejajar
data 01B tidak ditemukan,Fatal,data 01 tidak temukan
"1.poin 3 ditempatkan sebelum poin 2 selesai2. typo kata ""Pihak Tidak Terkait""3. judul form belum sesuai4. nama pos belum sesuai5. nama pos poin 1b tidak muncul di preview6. kolom catatan tidak ada isinya7. pada hasil download excel, kolom isi catatan tidak sejajar8. pada rasio GWM Rupiah tidak berwarna",Minor,1 poin 3 tempatkan poin 2 selesai 2 typo tidak terkait 3 judul form belum sesuai 4 nama pos belum sesuai 5 nama pos poin 1 tidak muncul preview 6 kolom catatan tidak isinya 7 hasil download excel kolom isi catatan tidak sejajar 8 rasio gwm rupiah tidak ber warna
"1. terdapat row yang memuat A/B/C/D/E pada judul kolom (perlu dihapus), bentuk dan nama kolom tidak sesuai template2. bagian judul kolom yang diberi tanda harus di merge dengan row diatas dan dibawahnya3. pada sub tabel profit sharing hasil generate terdapat row berisi ""5. Surat Berharga yang Diterbitkan"" perlu dihapus karena tidak relevan dengan tabel4. allignment tidak sesuai dan pada preview web data di kolom nisbah tidak ada persen '%' (ss no.3 & 7)5. nama pos dan isi data tidak sesuai6. data tidak menggunakan desimal7. kolom tidak sesuai dan pada kolom ""jumlah bagi hasil "" seharusnya tidak disingkat8. nama kolom tidak sesuai, angka di data tidak menggunakan desimal, dan pada nama pos 'mudharabah' seharusnya 'mudarabah'",Mayor,1 row memuat judul kolom dihapus bentuk nama kolom tidak sesuai template 2 judul kolom tanda merge row diatas bawahnya 3 sub tabel profit sharing hasil generate row berisi 5 surat berharga diterbitkan dihapus tidak relevan tabel 4 allignment tidak sesuai preview web data kolom nisbah tidak persen ss no 3 7 5 nama pos isi data tidak sesuai 6 data tidak menggun desimal 7 kolom tidak sesuai kolom hasil tidak singkat 8 nama kolom tidak sesuai angka data tidak menggun desimal nama pos mudharabah mudarabah
1. pada field dropdown masih berbeda dengan judul Form 10B2. penamaan pada isi belum sesuai dengan penamaan berdasarkan kode pada template,Minor,1 field dropdown berbeda judul form 10 2 penamaan isi belum sesuai penamaan berdasarkan kode template
1. penamaan kolom berbeda2. terdapat tabel tambahan diluar template3. pada field dropdown masih berbeda dengan judul Form 11B4. isi data jenis pemegang saham tidak sesuai dan isi data pada kolom persentase tidak menggunakan persen '%',Mayor,1 penamaan kolom berbeda 2 tabel an diluar template 3 field dropdown berbeda judul form 11 4 isi data jenis pemegang saham tidak sesuai isi data kolom persentase tidak menggun persen
data 03B tidak ditemukan,Fatal,data 03 tidak temukan
1. pada hasil preview poin urut a-v tidak muncul dan pada kolom catatan isinya tidak muncul2. isi uraian tidak sesuai template,Minor,1 hasil preview poin urut tidak muncul kolom catatan isinya tidak muncul 2 isi uraian tidak sesuai template
Pada field dropdown masih berbeda dengan judul,Minor,field dropdown berbeda judul
Pada data Form 01B tidak ditemukan,Fatal,data form 01 tidak temukan
"1. pada nama kolom pos - pos tanda ""-"" belum di spasi2. Pada hasil preview penulisan dalam jutaan rupiah menggunakan tanda "".""3. Pada kolom sept 2025 terdapat tanda ""*)""4. Pada penulisan jenis nama pos berbeda5. Terdapat penulisan ""catatan"" pada kolom catatan dan terdapat keterangan catatan 6. Pada hasil preview terdapat penulisan "" Tabel 02. B""",Mayor,1 nama kolom pos pos tanda belum spasi 2 hasil preview penulisan jutaan rupiah menggun tanda 3 kolom sept 2025 tanda 4 penulisan jenis nama pos berbeda 5 penulisan catatan kolom catatan terangan catatan 6 hasil preview penulisan tabel 02
"1. Pada hasil preview terdapat penulisan "" Tabel 03. B""2. Pada penulisan nama pos tanda ""-"" belum di spasi 3. Pada hasil preview penulisan dalam jutaan rupiah menggunakan tanda "".""4. Pada nama kolom des 2025 terdapat tanda ""*)""5. Pada penulisan jenis nama pos berbeda6. Terdapat penulisan ""catatan"" pada kolom catatan dan terdapat keterangan catatan",Mayor,1 hasil preview penulisan tabel 03 2 penulisan nama pos tanda belum spasi 3 hasil preview penulisan jutaan rupiah menggun tanda 4 nama kolom des 2025 tanda 5 penulisan jenis nama pos berbeda 6 penulisan catatan kolom catatan terangan catatan
"1. Pada hasil preview terdapat penulisan ""Tabel 04. B""2. Pada hasil preview nama kolom ""Rasio"" berbeda dengan tamplate3. Pada penulisan jenis nama pos berbeda4. Terdapat penulisan ""catatan""  pada kolom catatan",Mayor,1 hasil preview penulisan tabel 04 2 hasil preview nama kolom rasio berbeda tamplate 3 penulisan jenis nama pos berbeda 4 penulisan catatan kolom catatan
Pada hasil preview data berbeda dengan tamplate,Mayor,hasil preview data berbeda tamplate
Teks baris kedua pada setiap row untuk excel terdownload setelah generate tidak visible,Kosmetik,teks baris row excel ter download generate tidak visible
"Pada penulisan kolom des menggunakan simbol ""**)""",Minor,penulisan kolom des menggun simbol
"1. Pada hasil preview nama jenis pos ""liabilitas dan dana investasi"" tidak sesuai dengan baris di tamplate2. Terdapat simbol - simbol yang tidak relevan pada penulisan - Ijarah 1)- Aset tetap dan inventaris 1)- Akad mudarabah)-Akad lainnya -Total dana investasi)-Total liabilitas dan dana investasi)3. Pada hasil download excel kolom catatan tidak sejajar",Mayor,1 hasil preview nama jenis pos liabilitas dana investasi tidak sesuai baris tamplate 2 simbol simbol tidak relevan penulisan ijarah 1 aset inventaris 1 akad mudarabah akad total dana investasi total liabilitas dana investasi 3 hasil download excel kolom catatan tidak sejajar
"1. terdapat simbol-simbol yang tidak relevan seperti "")"" dan ""1)""2. untuk angka ""1)"" pada poin ""10. Aset tetap dan inventaris 1)""  dijadikan bentuk pangkat3. terdapat row yang perlu dihapus dan ditambahkan sesuai template4. judul pada hasil generate berbeda dengan judul pada field dropdown5. pada penamaan column masih terdapat simbol yang tidak relevan ""**)""",Kosmetik,1 simbol simbol tidak relevan 1 2 angka 1 poin 10 aset inventaris 1 jadikan bentuk pangkat 3 row dihapus sesuai template 4 judul hasil generate berbeda judul field dropdown 5 penamaan column simbol tidak relevan
"1. Pada hasil preview penempatan nama kolom berbeda antara web dan template, mohon disesuaikan2. Pada hasil preview data pada nama kolom ""nisbah"" tidak sesuai dengan tamplate, mohon disesuaikan3. Pada data di hasil preview tidak sesuai karena menggunakan "",00"" pada nama kolom ""jumlah bagi hasil"", ""saldo rata-rata"", ""pendapatan yang diterima, mohon disesuaikan dengan tamplate untuk semua data form 5b 4. Pada penempatan nama kolom tidak sesuai 5. Pada nama kolom ""jumlah bagi hasil"" belum sesuai, mohon disesuaikan 6. Pada nama kolom belum sesuai 7. Pada nama kolom ""pendapatan yang diterima"" belum sesuai, mohon disesuaikan8. Terdapat penulisan nama kolom ""A-E"", mohon disesuaikan",Mayor,1 hasil preview penempatan nama kolom berbeda web template sesuaikan 2 hasil preview data nama kolom nisbah tidak sesuai tamplate sesuaikan 3 data hasil preview tidak sesuai menggun 00 nama kolom hasil saldo rata rata pendapatan diterima sesuaikan tamplate data form 5 4 penempatan nama kolom tidak sesuai 5 nama kolom hasil belum sesuai sesuaikan 6 nama kolom belum sesuai 7 nama kolom pendapatan diterima belum sesuai sesuaikan 8 penulisan nama kolom sesuaikan
"1. judul pada hasil generate dan field dropdown berbeda dengan judul pada template2. terdapat perbedaan value untuk nilai. > setiap value yang bernilai ""-"" seharusnya ditulis simbol ""-"" juga dalam bentuk tipe data string> apabila value bernilai ""0"" maka ditulis ""0"" juga4. pada penamaan column masih terdapat simbol yang tidak relevan ""*)""5. terdapat perbedaan penamaan row dengan TW3",Kosmetik,1 judul hasil generate field dropdown berbeda judul template 2 perbedaan value nilai value bernilai ditulis simbol bentuk tipe data string value bernilai 0 ditulis 0 4 penamaan column simbol tidak relevan 5 perbedaan penamaan row tw 3
"1. judul pada hasil generate berbeda dengan judul pada template maupun field dropdown2. pada penamaan column masih terdapat simbol yang tidak relevan ""*)""3. terdapat perbedaan penamaan row dengan TW3",Kosmetik,1 judul hasil generate berbeda judul template field dropdown 2 penamaan column simbol tidak relevan 3 perbedaan penamaan row tw 3
"1. terdapat kata ""Catatan:"" didalam Kolom Catatan2. allignment tidak sesuai template3. pada hasil preview kata penurunan menggunakan tanda kurung '()' tidak sesuai dengan template",Kosmetik,1 catatan didalam kolom catatan 2 allignment tidak sesuai template 3 hasil preview penurunan menggun tanda kurung tidak sesuai template
1. judul pada hasil generate berbeda dengan judul pada template maupun field dropdown2. terdapat perbedaan penamaan row dengan TW33. judul column berbeda dengan template,Kosmetik,1 judul hasil generate berbeda judul template field dropdown 2 perbedaan penamaan row tw 33 judul column berbeda template
"1. judul pada hasil generate berbeda dengan judul pada template maupun field dropdown2. pada hasil generate lampiran 2 terdapat : - perbedaan tipe data pada kolom ""Jml Bagi Hasil"" (seharusnya int bukan float/decimal)- judul kolom yang diberi tanda 1/2/3 harus di merge dengan kolom diatas/dibawahnya- judul kolom yang diberi tanda 4 dihilangkan3.  pada hasil generate lampiran 3 terdapat :- row diatas setelah judul kolom (berisi A,B) yang perlu dihilangkan- terdapat penamaan row yang salah dan penamaan yang salah4.  pada hasil generate lampiran 4 terdapat :- perbedaan tipe data pada kolom ""Jml Bagi Hasil"" (seharusnya int bukan float/decimal)- judul kolom yang diberi tanda 1/2/3 harus di merge dengan kolom diatas/dibawahnya- judul kolom yang diberi tanda 4 dihilangkan5. pada hasil generate lampiran 5 terdapat :- row diatas setelah judul kolom (berisi A,B) yang perlu dihilangkan",Minor,1 judul hasil generate berbeda judul template field dropdown 2 hasil generate lampiran 2 perbedaan tipe data kolom jml hasil int bukan float decimal judul kolom tanda 1 2 3 merge kolom diatas dibawahnya judul kolom tanda 4 hilang 3 hasil generate lampiran 3 row diatas judul kolom berisi dihilangkan penamaan row salah penamaan salah 4 hasil generate lampiran 4 perbedaan tipe data kolom jml hasil int bukan float decimal judul kolom tanda 1 2 3 merge kolom diatas dibawahnya judul kolom tanda 4 hilang 5 hasil generate lampiran 5 row diatas judul kolom berisi hilang
"1. judul pada field dropdown berbeda dengan judul pada template dan hasil generate2. pada subpoin ""2. Penyaluran dana wakaf kepada entitas pengelola wakaf"" tidak ada penamaan poin a/b/c seperti pada template TW2",Kosmetik,1 judul field dropdown berbeda judul template hasil generate 2 subpoin 2 penyaluran dana wakaf entitas pengelola wakaf tidak penamaan poin template tw 2
Pada hasil preview kolom tahun belum sesuai dengan tamplate,Minor,hasil preview kolom tahun belum sesuai tamplate
1. pada hasil preview poin urut a-v tidak muncul2. Isi uraian tidak sesuai tamplate,Kosmetik,1 hasil preview poin urut tidak muncul 2 isi uraian tidak sesuai tamplate
field Lampiran tidak muncul saat halaman pertama kali di-load. Field tersebut baru muncul setelah field di atasnya diubah/terdapat perubahan pada field lain yang telah muncul saat pertama di-load,Minor,field lampiran tidak muncul halaman load field muncul field atasnya diubah ubah an field muncul load
"validasi tanggal hanya berjalan setelah klik Generate. Tanpa Generate, data tetap dapat disimpan meskipun Tanggal Selesai lebih awal dari Tanggal Mulai",Minor,validasi tanggal berjalan klik generate tanpa generate data simpan tanggal selesai tanggal
"pada form Review Data, data masih bisa disimpan meskipun dropdown field required Ajukan Approval Kepada tidak diisi",Minor,form review data data simpan dropdown field required ajukan approval tidak diisi
Opsi jenis sanksi ada pilihan yang double,Minor,opsi jenis sanksi pilihan double
Data sanksi belum muncul pada user Reviewer,Mayor,data sanksi belum muncul user reviewer
Opsi pilihan Transaksi Pelimpahan PUPN belum muncul,Mayor,opsi pilihan transaksi pelimpahan pupn belum muncul
Daftar Pencatatan Transaksi belum muncul di submenu,Mayor,daftar pencatatan transaksi belum muncul submenu
Tombol OK atau Submit sebaiknya warna biru atau hijau,Kosmetik,tombol ok submit warna biru hijau
Email tidak terkirim,Mayor,email tidak terkirim
Nilai Tagihan sedangkan pada web NILAI TAGIHAN (RP),Kosmetik,nilai tagihan gkan web nilai tagihan rp
setelah mengirim data dari drafter ke reviewer data belum masuk,Mayor,mengirim data drafter reviewer data belum
