Log Temuan,Kategori,cleaned_text
1. Klik Batal&gt;muncul notif gagal&gt;tp aksinya ga aktif (harusnya aksinya akan muncul 3 button lg) (SS),Fatal,1 klik batal [html_tag] muncul notif gagal [html_tag] tapi aksi nya tidak aktif harusnya aksi nya akan muncul 3 button lagi ss
"nilai awal, koreksi, akhir, untuk akun rasio belum ada.",Mayor,nilai awal koreksi akhir untuk akun rasio belum ada
"Based on konfirmasi dari DPEA. Seharusnya button yg muncul setiap role sbb:<br>1. Drafter dan Reviewer: Simpan, Submit, Preview<br>2. Approver: Revisi dan Setujui",Minor,based on konfirmasi dari dpea seharusnya button yang muncul setiap role sbb [html_tag] 1 drafter dan reviewer simpan submit preview [html_tag] 2 approver revisi dan setujui
"Based on konfirmasi dari DPEA. Seharusnya button yg muncul setiap role sbb:<br>1. Drafter dan Reviewer: Simpan, Submit, Preview<br>2. Approver: Revisi dan Setujui",Minor,based on konfirmasi dari dpea seharusnya button yang muncul setiap role sbb [html_tag] 1 drafter dan reviewer simpan submit preview [html_tag] 2 approver revisi dan setujui
"kondisi setelah approve, klik tombol batal > Submit

tampil, Data Gagal disimpan",Fatal,kondisi setelah approve klik tombol batal submit tampil data gagal disimpan
"pada header tabel komponen posisi, nilaiAwal, NilaiKoreksi, NilaiAkhir belum ada pemisah atau spasi",Kosmetik,pada header tabel komponen posisi nilai awal nilai koreksi nilai akhir belum ada pemisah atau spasi
"1. Text belum sesuai mockup (gambar 1)
<br><br>2. header tabel buat rata tengah<br>",Kosmetik,1 text belum sesuai mockup gambar 1 [html_tag] [html_tag] 2 header tabel buat rata tengah [html_tag]
"1. belum ada kolom ""Sandi KAP"" sesuai struktur data (gambar 1)<br>",Minor,1 belum ada kolom sandi kap sesuai struktur data gambar 1 [html_tag]
1. Fitur sorting tidak bekerja (gambar 1)<br>,Mayor,1 fitur sorting tidak bekerja gambar 1 [html_tag]
"Nilai pada Nilaiwal,koreksi,akhir sebaiknya rata kanan",Minor,nilai pada nilaiwal koreksi akhir sebaiknya rata kanan
"ketika akses http://10.224.60.106/PeerGroup tanpa melalui login terlebih dahulu, tampil error (seharusnya force ke halaman login)<br><br><i style="""">Object reference not set to an instance of an object.</i>",Mayor,ketika akses tanpa melalui login terlebih dahulu tampil error seharusnya force ke halaman login [html_tag] [html_tag] [html_tag] object reference not set to an instance of an object [html_tag]
Tombol submit filter dan reset filter pada sub menu Rekapitulasi Perbandingan DPP dan Penerimaan tidak berfungsi<br>,Mayor,tombol submit filter dan reset filter pada sub menu rekapitulasi perbandingan dpp dan penerimaan tidak berfungsi [html_tag]
"Based on konfirmasi dari DPEA. Seharusnya button yg muncul setiap role sbb:<br>1. Drafter dan Reviewer: Simpan, Submit, Preview<br>2. Approver: Revisi dan Setujui",Minor,based on konfirmasi dari dpea seharusnya button yang muncul setiap role sbb [html_tag] 1 drafter dan reviewer simpan submit preview [html_tag] 2 approver revisi dan setujui
"Data sudah dipilih, tp tidak ada update status (SS)",Mayor,data sudah dipilih tapi tidak ada update status ss
"drafter sudah submit komponen posisi, pada reviewer belum ada notifikasi",Mayor,drafter sudah submit komponen posisi pada reviewer belum ada notifikasi
tombol export tidak dapat melakukan export data<br>,Mayor,tombol export tidak dapat melakukan export data [html_tag]
"1. Export data belum terdapat kolom status<br>2. Export data tambahkan <b>header </b>sesuai dengan menunya contoh <b>Master Data - Nilai Probabilitas</b><br>3. Pada<b>&nbsp;</b><b>export&nbsp;</b><b>nilai probabilitas detil, belum terdapat kolom status, </b>tambahkan <b>header </b>contoh <b>Master Data - Nilai Probabilitas Sektor xxx Tahun xxx versi xx</b>",Mayor,1 export data belum terdapat kolom status [html_tag] 2 export data tambahkan [html_tag] header [html_tag] sesuai dengan menu nya contoh [html_tag] master data nilai probabilitas [html_tag] [html_tag] 3 pada [html_tag] [html_tag] [html_tag] [html_tag] export [html_tag] [html_tag] [html_tag] nilai probabilitas detil belum terdapat kolom status [html_tag] tambahkan [html_tag] header [html_tag] contoh [html_tag] master data nilai probabilitas sektor xxx tahun xxx versi xx [html_tag]
"filter : apabila hanya diisi periode awal, maka klik filter tampil error",Mayor,filter apabila hanya diisi periode awal maka klik filter tampil error
tidak dapat delete data,Mayor,tidak dapat delete data
data yang berhasil di-import belum tampil<br>,Mayor,data yang berhasil di import belum tampil [html_tag]
"pilih pada Filter <b>tidak aktif</b>, lalu pilih salah satu data dan ubah status menjadi <b>aktif</b>, muncul <b>notifikasi berhasil ubah status</b>, namun <b>status tidak berubah</b>",Fatal,pilih pada filter [html_tag] tidak aktif [html_tag] lalu pilih salah satu data dan ubah status menjadi [html_tag] aktif [html_tag] muncul [html_tag] notifikasi berhasil ubah status [html_tag] namun [html_tag] status tidak berubah [html_tag]
Setiap proses pengajuan/review/approver seharusnya muncul notif (SS)<br><br>Adjust ke All Rasio,Minor,setiap proses pengajuan review approver seharusnya muncul notif ss [html_tag] [html_tag] adjust ke all rasio
1. Konten rasio blm sesuai dengan template (SS)<br><br>2. Numbering blm urut (SS)<br><br>Adjust ke export PDF dan excel,Minor,1 konten rasio belum sesuai dengan template ss [html_tag] [html_tag] 2 numbering belum urut ss [html_tag] [html_tag] adjust ke export pdf dan excel
1. Konten rasio blm sesuai dengan template (SS)<br><br>2. Numbering blm urut&nbsp;<br><br>Adjust ke export PDF dan excel,Minor,1 konten rasio belum sesuai dengan template ss [html_tag] [html_tag] 2 numbering belum urut [html_tag] [html_tag] [html_tag] adjust ke export pdf dan excel
1. Konten rasio blm sesuai dengan template (SS)<br><br>2. Numbering blm urut&nbsp;<br><br>Adjust ke export PDF dan excel,Minor,1 konten rasio belum sesuai dengan template ss [html_tag] [html_tag] 2 numbering belum urut [html_tag] [html_tag] [html_tag] adjust ke export pdf dan excel
"1. Seharusnya kalo udh di approve, tiap kolom akan muncul data terkait (SS)",Minor,1 seharusnya kalau sudah di approve tiap kolom akan muncul data terkait ss
1. Konten rasio blm sesuai dengan template (SS)<br><br>2. Numbering blm urut&nbsp;<br><br>Adjust ke export PDF dan excel,Minor,1 konten rasio belum sesuai dengan template ss [html_tag] [html_tag] 2 numbering belum urut [html_tag] [html_tag] [html_tag] adjust ke export pdf dan excel
"terdapat icon tidak diperlukan, lebih baik dihapus saja. (SS)",Kosmetik,terdapat icon tidak diperlukan lebih baik dihapus saja ss
1. Konten rasio blm sesuai dengan template (SS)<br><br>2. Numbering blm urut&nbsp;<br><br>Adjust ke export PDF dan excel,Minor,1 konten rasio belum sesuai dengan template ss [html_tag] [html_tag] 2 numbering belum urut [html_tag] [html_tag] [html_tag] adjust ke export pdf dan excel
"1. Ketika dilakukan sortir Ascending / Descending, penomoran pada item tidak berubah. (SS)<br><br>2. Setelah dilakukan sortir tsb, hasil export tidak mengikuti perubahan urutan secara Ascending / Descending. (SS)",Mayor,1 ketika dilakukan sortir ascending descending penomoran pada item tidak berubah ss [html_tag] [html_tag] 2 setelah dilakukan sortir tersebut hasil export tidak mengikuti perubahan urutan secara ascending descending ss
"label mandatory belum ada, mohon ditambahkan. (SS)",Minor,label mandatory belum ada mohon ditambahkan ss
"Fungsi sortir pada kolom ""No."" tidak berfungsi. (SS)",Minor,fungsi sortir pada kolom no tidak berfungsi ss
"1. Ketika dilakukan sortir Ascending / Descending, penomoran pada item tidak berubah. (SS)<br><br>2. Setelah dilakukan sortir tsb, hasil export tidak mengikuti perubahan urutan secara Ascending / Descending. (SS)",Mayor,1 ketika dilakukan sortir ascending descending penomoran pada item tidak berubah ss [html_tag] [html_tag] 2 setelah dilakukan sortir tersebut hasil export tidak mengikuti perubahan urutan secara ascending descending ss
"untuk dati I dan dati II masih berupa sandi, tolong dibuatkan sesuai nama dati tsb",Minor,untuk dati i dan dati ii masih berupa sandi tolong dibuatkan sesuai nama dati tersebut
"setting pada CAM pengumuman tanggal 05/02/2025 namun pada Beranda SIPKK tidak tampil, tapi tampil pada LIHAT SEMUA PENGUMUMAN",Mayor,setting pada cam pengumuman tanggal 05 02 2025 namun pada beranda sipkk tidak tampil tapi tampil pada lihat semua pengumuman
Periode 2025 masih blm ada di dropdown (SS),Minor,periode 2025 masih belum ada di dropdown ss
"Ketika berada Halaman Lihat Semua Pengumuman, 
tidak dapat mengakses / expand sub Menu",Mayor,ketika berada halaman lihat semua pengumuman tidak dapat mengakses expand sub menu
Periode 2025 masih blm ada di dropdown (SS)&nbsp;,Minor,periode 2025 masih belum ada di dropdown ss [html_tag]
"kondisi: sedang pada halaman beranda, notifikasi Pesan tampil angka 1, 
kondisi: ketika pada halaman selain beranda, notifikasi pesan tidak tampil angka",Mayor,kondisi sedang pada halaman beranda notifikasi pesan tampil angka 1 kondisi ketika pada halaman selain beranda notifikasi pesan tidak tampil angka
Header pada export excel masih blm sesuai di web,Minor,header pada export excel masih belum sesuai di web
kolom isi pesan belum tidak rapi,Mayor,kolom isi pesan belum tidak rapi
Header pada export excel masih blm sesuai di web,Minor,header pada export excel masih belum sesuai di web
"Ketika klik log koreksi, breadcrumb masih tidak sesuai, krn jadi berubah (SS)",Minor,ketika klik log koreksi breadcrumb masih tidak sesuai karena jadi berubah ss
header dibuat center,Kosmetik,header dibuat center
"tidak ada panah sub menu Profil, Ganti peran ketika sedang berada pada halaman todolist atau halaman selain beranda",Mayor,tidak ada panah sub menu profil ganti peran ketika sedang berada pada halaman todolist atau halaman selain beranda
inkonsisten penggunaan Scrollbar dan Pagination,Minor,inkonsisten penggunaan scrollbar dan pagination
"ketika aksi ubah paramater, klik Ubah, tampil halaman error",Mayor,ketika aksi ubah paramater klik ubah tampil halaman error
Header dibuat center,Kosmetik,header dibuat center
Nilai Rasio pada Risiko - ITE <br>- Likuiditas<br>- Pasar<br>- Permodalan<br>- Rentabilitas<br>- Kredit<br><br>belum tampil,Fatal,nilai rasio pada risiko ite [html_tag] likuiditas [html_tag] pasar [html_tag] permodalan [html_tag] rentabilitas [html_tag] kredit [html_tag] [html_tag] belum tampil
"1. By default, seharusnya kalo blm ada periode yang di filter, maka interface akan kosong (SS)<br><br>2. Kalo klik reset, idealnya interface data akan kosong",Minor,1 by default seharusnya kalau belum ada periode yang di filter maka interface akan kosong ss [html_tag] [html_tag] 2 kalau klik reset ideal nya interface data akan kosong
nama kolom mohon untuk diratatengahkan<br>,Kosmetik,nama kolom mohon untuk diratatengahkan [html_tag]
"Tombol Download berantakan, tidak rata<br><br><br>(K)",Kosmetik,tombol download berantakan tidak rata [html_tag] [html_tag] [html_tag] k
nama kolom mohon untuk diratatengahkan (aplikasi dan hasil export)<br>,Kosmetik,nama kolom mohon untuk diratatengahkan aplikasi dan hasil export [html_tag]
"1. tombol ""submit filter"" dan ""reset filter"" tidak berfungsi<br><br>2. Data hasil export tidak sesuai dengan data yang ada pada aplikasi<br>",Mayor,1 tombol submit filter dan reset filter tidak berfungsi [html_tag] [html_tag] 2 data hasil export tidak sesuai dengan data yang ada pada aplikasi [html_tag]
Konten rasio blm sesuai dengan template (ss)<br><br>Nama kolom pada bulan masih belom sesuai (ss1)<br><br>(K),Minor,konten rasio belum sesuai dengan template ss [html_tag] [html_tag] nama kolom pada bulan masih belom sesuai ss 1 [html_tag] [html_tag] k
Header pada export excel masih blm sesuai di web,Minor,header pada export excel masih belum sesuai di web
belum terdapat log/catatan terkait upaya log on yang gagal dan berhasil,Fatal,belum terdapat log catatan terkait upaya log on yang gagal dan berhasil
dapat login tidak sesuai dengan passwordnya,Fatal,dapat login tidak sesuai dengan passwordnya
radio button dan label tumpang tindih,Kosmetik,radio button dan label tumpang tindih
"Role Perizinan masih dapat mengakses halaman 'Risk Assesment', seharusnya tidak bisa sesuai T11. (SS)",Fatal,role perizinan masih dapat mengakses halaman risk assesment seharusnya tidak bisa sesuai t 11 ss
"Ketika klik Delete, tidak ada respon apapun dari server
<br><br>(K)",Mayor,ketika klik delete tidak ada respon apapun dari server [html_tag] [html_tag] k
"1. nama kolom mohon untuk diratatengahkan (aplikasi dan hasil export)<br><br>2. Saat Tambah Data Sanksi KAP, mohon untuk isian yang dapat diisi/edit tidak berwarna gelap<br>",Kosmetik,1 nama kolom mohon untuk diratatengahkan aplikasi dan hasil export [html_tag] [html_tag] 2 saat tambah data sanksi kap mohon untuk isian yang dapat diisi edit tidak berwarna gelap [html_tag]
Saat hapus salah satu baris hasil dari unggah template terdapat error,Mayor,saat hapus salah satu baris hasil dari unggah template terdapat error
unduh template P2PL isinya bkn P2PL,Mayor,unduh template p 2 pl isi nya bukan p 2 pl
"1. Ketika klik tambah data likuiditas (berhubung ada delay), dan button tambah data masih bisa diklik sehingga menyebabkan data muncul double. <br><br>Idealnya ketika klik tambah data seharusnya muncul sign loading dan button tambah data harusnya disable (SS)",Minor,1 ketika klik tambah data likuiditas berhubung ada delay dan button tambah data masih bisa diklik sehingga menyebabkan data muncul double [html_tag] [html_tag] ideal nya ketika klik tambah data seharusnya muncul sign loading dan button tambah data harusnya disable ss
sdh klik simpan pada unggah metadata output namun sheet tidak muncul di list,Mayor,sudah klik simpan pada unggah metadata keluaran namun sheet tidak muncul di list
"1. Seharusnya edit data tidak bisa dihapus (SS). Kalopun memang bisa dihapus, button hapus tidak berfungsi&nbsp;<br>",Minor,1 seharusnya edit data tidak bisa dihapus ss kalopun memang bisa dihapus button hapus tidak berfungsi [html_tag] [html_tag]
"1. tombol ""reset filter"" tidak berfungsi<br><br>2. header pada kolom hasil export belum rata tengah seperti pada web<br><br>3. tombol ""reset"" pada aksi edit data tidak berfungsi<br>",Mayor,1 tombol reset filter tidak berfungsi [html_tag] [html_tag] 2 header pada kolom hasil export belum rata tengah seperti pada web [html_tag] [html_tag] 3 tombol reset pada aksi edit data tidak berfungsi [html_tag]
"tampilkan sheet, pilih summary keuangan, cari pada nama data laba, lalu hapus salah satu data yg tampil, muncul notifikasi berhasil, namun data ttp ada pada list detil",Mayor,tampilkan sheet pilih summary keuangan cari pada nama data laba lalu hapus salah satu data yang tampil muncul notifikasi berhasil namun data ttp ada pada list detil
"Kolom nama tidak konsisten, ada yg menampilkan sandi ada yg tidak<br>",Mayor,kolom nama tidak konsisten ada yang menampilkan sandi ada yang tidak [html_tag]
Tidak ada list dropdown versi<br>,Mayor,tidak ada list dropdown versi [html_tag]
Field mandatory belum diberikan simbol * (lakukan untuk semua field yang mandatory)<br>,Minor,field mandatory belum diberikan simbol lakukan untuk semua field yang mandatory [html_tag]
nama kolom mohon untuk diratatengahkan untuk aplikasi dan hasil exportnya<br>,Kosmetik,nama kolom mohon untuk diratatengahkan untuk aplikasi dan hasil exportnya [html_tag]
Data tidak tampil walaupun sudah diproses (menggunakan data september 2024 dan desember 2024),Mayor,data tidak tampil walaupun sudah diproses menggunakan data september 2024 dan desember 2024
Belum ada tombol kembali seperti pada mockup pada halaman edit dan detail<br>,Mayor,belum ada tombol kembali seperti pada mockup pada halaman edit dan detail [html_tag]
teks navigasi belum sesuai mockup.&nbsp;<b>lakukan untuk semua halaman master data</b><br>,Kosmetik,teks navigasi belum sesuai mockup [html_tag] [html_tag] lakukan untuk semua halaman master data [html_tag] [html_tag]
teks navigasi belum sesuai mockup.&nbsp;<b>lakukan untuk semua halaman master data</b><br>,Kosmetik,teks navigasi belum sesuai mockup [html_tag] [html_tag] lakukan untuk semua halaman master data [html_tag] [html_tag]
"1. Fitur sorting pada kolom No tidak bekerja (gambar 1)
<br><br>&nbsp;2. Fitur sorting pada kolom No akan hilang setelah melakukan sorting pada kolom lainnya
<br><br>3. Urutan list data tabel pada hasil export excel tidak sesuai aplikasi (gambar 2)<br>",Mayor,1 fitur sorting pada kolom no tidak bekerja gambar 1 [html_tag] [html_tag] [html_tag] 2 fitur sorting pada kolom no akan hilang setelah melakukan sorting pada kolom lain nya [html_tag] [html_tag] 3 urutan list data tabel pada hasil export excel tidak sesuai aplikasi gambar 2 [html_tag]
Konten rasio blm sesuai dengan template (ss)<br><br>(K),Minor,konten rasio belum sesuai dengan template ss [html_tag] [html_tag] k
Konten rasio blm sesuai dengan <br>template (ss)<br><br>(K),Minor,konten rasio belum sesuai dengan [html_tag] template ss [html_tag] [html_tag] k
teks navigasi belum sesuai mockup.&nbsp;<b>lakukan untuk semua halaman master data</b><br>,Kosmetik,teks navigasi belum sesuai mockup [html_tag] [html_tag] lakukan untuk semua halaman master data [html_tag] [html_tag]
