Log Temuan,Kategori
"1. typo kalimat row-. typo seharusnya ""Pos-Pos""-. typo seharusnya ""Nilai Notional""-. typo seharusnya ""Trading""-. tambahkan kata ""Triwulan"" pada judul dokumen hasil generate2. terdapat kata ""Catatan:"" didalam Kolom Catatan3.  bagian kolom ""Transaksi"" harus di merge dengan row diatas dan dibawahnya4. judul hasil generate berbeda dengan judul Form 04B5. pada hasil download excel, kolom isi catatan tidak sejajar",Kosmetik
"1. hasil generate tidak sesuai (pada template ""Pembiayaan bagi hasil"")2. bagian kolom ""Pos-Pos"" harus di merge dengan row dibawahnya3. warna abu pada preview web belum sesuai4. tidak ada tanda titik dua "":"" pada kata dijaminkan dan kolom catatan tidak ada isinya",Kosmetik
"1. bagian kolom ""Pos-Pos"" harus di merge dengan row dibawahnya2. pada field dropdown masih berbeda dengan judul Form 01B3. pada hasil download excel, isi pada label tidak sejajar",Minor
"1. hasil setelah generate tampilan tidak rapi- pada downlaod excel terdapat row yang value-nya tidak visible- pada pdf dan preview terdapat space sebelum teks pada nama pos-pos (halaman 1&2)2. bagian judul kolom ""Pos-Pos"" harus di merge dengan row dibawahnya3. terdapat simbol-simbol yang tidak relevan pada penamaan kolom4. nama pos belum sesuai template5. nama pos tidak muncul pada preview dan tidak sesuai template6. pada preview nama ""CET 1"" seharusnya tidak ada spasi dan ""AT-1"" seharusnya tidak menggunakan tanda strip (-), isi data pada angka tidak sesuai template7. kolom catatan tidak ada isinya dan pada hasil preview muncul keterangan8. pada hasil download pdf, ada kelebihan halaman",Mayor
"1. typo seharusnya ""PPKA"" bukan ""PPA""2. nama kolom yang ditandai harus disamakan dengan template3. bagian judul kolom ""Pos-Pos"" harus di merge dengan row diatas dan dibawahnya4. judul form pada field dropdown dan hasil preview masih berbeda dengan judul pada template Form 07B5. penomoran tidak sesuai dan kata ""mudharabah"" seharusnya 'mudarabah'6. kolom catatan tidak ada isinya7. pada hasil download excel kolom catatan tidak sejajar",Minor
"1.bagian judul kolom ""Pos-Pos"" harus di merge dengan row  dibawahnya dan rata tengah2. terdapat simbol-simbol yang tidak relevan pada penamaan kolom3. pada hasil download excel, kolom isi catatan tidak sejajar",Minor
data 01B tidak ditemukan,Fatal
"1.poin 3 ditempatkan sebelum poin 2 selesai2. typo kata ""Pihak Tidak Terkait""3. judul form belum sesuai4. nama pos belum sesuai5. nama pos poin 1b tidak muncul di preview6. kolom catatan tidak ada isinya7. pada hasil download excel, kolom isi catatan tidak sejajar8. pada rasio GWM Rupiah tidak berwarna",Minor
"1. terdapat row yang memuat A/B/C/D/E pada judul kolom (perlu dihapus), bentuk dan nama kolom tidak sesuai template2. bagian judul kolom yang diberi tanda harus di merge dengan row diatas dan dibawahnya3. pada sub tabel profit sharing hasil generate terdapat row berisi ""5. Surat Berharga yang Diterbitkan"" perlu dihapus karena tidak relevan dengan tabel4. allignment tidak sesuai dan pada preview web data di kolom nisbah tidak ada persen '%' (ss no.3 & 7)5. nama pos dan isi data tidak sesuai6. data tidak menggunakan desimal7. kolom tidak sesuai dan pada kolom ""jumlah bagi hasil "" seharusnya tidak disingkat8. nama kolom tidak sesuai, angka di data tidak menggunakan desimal, dan pada nama pos 'mudharabah' seharusnya 'mudarabah'",Mayor
1. pada field dropdown masih berbeda dengan judul Form 10B2. penamaan pada isi belum sesuai dengan penamaan berdasarkan kode pada template,Minor
1. penamaan kolom berbeda2. terdapat tabel tambahan diluar template3. pada field dropdown masih berbeda dengan judul Form 11B4. isi data jenis pemegang saham tidak sesuai dan isi data pada kolom persentase tidak menggunakan persen '%',Mayor
data 03B tidak ditemukan,Fatal
1. pada hasil preview poin urut a-v tidak muncul dan pada kolom catatan isinya tidak muncul2. isi uraian tidak sesuai template,Minor
Pada field dropdown masih berbeda dengan judul,Minor
Pada data Form 01B tidak ditemukan,Fatal
"1. pada nama kolom pos - pos tanda ""-"" belum di spasi2. Pada hasil preview penulisan dalam jutaan rupiah menggunakan tanda "".""3. Pada kolom sept 2025 terdapat tanda ""*)""4. Pada penulisan jenis nama pos berbeda5. Terdapat penulisan ""catatan"" pada kolom catatan dan terdapat keterangan catatan 6. Pada hasil preview terdapat penulisan "" Tabel 02. B""",Mayor
"1. Pada hasil preview terdapat penulisan "" Tabel 03. B""2. Pada penulisan nama pos tanda ""-"" belum di spasi 3. Pada hasil preview penulisan dalam jutaan rupiah menggunakan tanda "".""4. Pada nama kolom des 2025 terdapat tanda ""*)""5. Pada penulisan jenis nama pos berbeda6. Terdapat penulisan ""catatan"" pada kolom catatan dan terdapat keterangan catatan",Mayor
"1. Pada hasil preview terdapat penulisan ""Tabel 04. B""2. Pada hasil preview nama kolom ""Rasio"" berbeda dengan tamplate3. Pada penulisan jenis nama pos berbeda4. Terdapat penulisan ""catatan""  pada kolom catatan",Mayor
Pada hasil preview data berbeda dengan tamplate,Mayor
Teks baris kedua pada setiap row untuk excel terdownload setelah generate tidak visible,Kosmetik
"Pada penulisan kolom des menggunakan simbol ""**)""",Minor
"1. Pada hasil preview nama jenis pos ""liabilitas dan dana investasi"" tidak sesuai dengan baris di tamplate2. Terdapat simbol - simbol yang tidak relevan pada penulisan - Ijarah 1)- Aset tetap dan inventaris 1)- Akad mudarabah)-Akad lainnya -Total dana investasi)-Total liabilitas dan dana investasi)3. Pada hasil download excel kolom catatan tidak sejajar",Mayor
"1. terdapat simbol-simbol yang tidak relevan seperti "")"" dan ""1)""2. untuk angka ""1)"" pada poin ""10. Aset tetap dan inventaris 1)""  dijadikan bentuk pangkat3. terdapat row yang perlu dihapus dan ditambahkan sesuai template4. judul pada hasil generate berbeda dengan judul pada field dropdown5. pada penamaan column masih terdapat simbol yang tidak relevan ""**)""",Kosmetik
"1. Pada hasil preview penempatan nama kolom berbeda antara web dan template, mohon disesuaikan2. Pada hasil preview data pada nama kolom ""nisbah"" tidak sesuai dengan tamplate, mohon disesuaikan3. Pada data di hasil preview tidak sesuai karena menggunakan "",00"" pada nama kolom ""jumlah bagi hasil"", ""saldo rata-rata"", ""pendapatan yang diterima, mohon disesuaikan dengan tamplate untuk semua data form 5b 4. Pada penempatan nama kolom tidak sesuai 5. Pada nama kolom ""jumlah bagi hasil"" belum sesuai, mohon disesuaikan 6. Pada nama kolom belum sesuai 7. Pada nama kolom ""pendapatan yang diterima"" belum sesuai, mohon disesuaikan8. Terdapat penulisan nama kolom ""A-E"", mohon disesuaikan",Mayor
"1. judul pada hasil generate dan field dropdown berbeda dengan judul pada template2. terdapat perbedaan value untuk nilai. > setiap value yang bernilai ""-"" seharusnya ditulis simbol ""-"" juga dalam bentuk tipe data string> apabila value bernilai ""0"" maka ditulis ""0"" juga4. pada penamaan column masih terdapat simbol yang tidak relevan ""*)""5. terdapat perbedaan penamaan row dengan TW3",Kosmetik
"1. judul pada hasil generate berbeda dengan judul pada template maupun field dropdown2. pada penamaan column masih terdapat simbol yang tidak relevan ""*)""3. terdapat perbedaan penamaan row dengan TW3",Kosmetik
"1. terdapat kata ""Catatan:"" didalam Kolom Catatan2. allignment tidak sesuai template3. pada hasil preview kata penurunan menggunakan tanda kurung '()' tidak sesuai dengan template",Kosmetik
1. judul pada hasil generate berbeda dengan judul pada template maupun field dropdown2. terdapat perbedaan penamaan row dengan TW33. judul column berbeda dengan template,Kosmetik
"1. judul pada hasil generate berbeda dengan judul pada template maupun field dropdown2. pada hasil generate lampiran 2 terdapat : - perbedaan tipe data pada kolom ""Jml Bagi Hasil"" (seharusnya int bukan float/decimal)- judul kolom yang diberi tanda 1/2/3 harus di merge dengan kolom diatas/dibawahnya- judul kolom yang diberi tanda 4 dihilangkan3.  pada hasil generate lampiran 3 terdapat :- row diatas setelah judul kolom (berisi A,B) yang perlu dihilangkan- terdapat penamaan row yang salah dan penamaan yang salah4.  pada hasil generate lampiran 4 terdapat :- perbedaan tipe data pada kolom ""Jml Bagi Hasil"" (seharusnya int bukan float/decimal)- judul kolom yang diberi tanda 1/2/3 harus di merge dengan kolom diatas/dibawahnya- judul kolom yang diberi tanda 4 dihilangkan5. pada hasil generate lampiran 5 terdapat :- row diatas setelah judul kolom (berisi A,B) yang perlu dihilangkan",Minor
"1. judul pada field dropdown berbeda dengan judul pada template dan hasil generate2. pada subpoin ""2. Penyaluran dana wakaf kepada entitas pengelola wakaf"" tidak ada penamaan poin a/b/c seperti pada template TW2",Kosmetik
Pada hasil preview kolom tahun belum sesuai dengan tamplate,Minor
1. pada hasil preview poin urut a-v tidak muncul2. Isi uraian tidak sesuai tamplate,Kosmetik
field Lampiran tidak muncul saat halaman pertama kali di-load. Field tersebut baru muncul setelah field di atasnya diubah/terdapat perubahan pada field lain yang telah muncul saat pertama di-load,Minor
"validasi tanggal hanya berjalan setelah klik Generate. Tanpa Generate, data tetap dapat disimpan meskipun Tanggal Selesai lebih awal dari Tanggal Mulai",Minor
"pada form Review Data, data masih bisa disimpan meskipun dropdown field required Ajukan Approval Kepada tidak diisi",Minor
Opsi jenis sanksi ada pilihan yang double,Minor
Data sanksi belum muncul pada user Reviewer,Mayor
Opsi pilihan Transaksi Pelimpahan PUPN belum muncul,Mayor
Daftar Pencatatan Transaksi belum muncul di submenu,Mayor
Tombol OK atau Submit sebaiknya warna biru atau hijau,Kosmetik
Email tidak terkirim,Mayor
Nilai Tagihan sedangkan pada web NILAI TAGIHAN (RP),Kosmetik
setelah mengirim data dari drafter ke reviewer data belum masuk,Mayor
ketika melakukan penyesuaian tabel data kolom sebelah terpotong baik judul maupun isi kolom,Minor
button  Hapus  belum muncul,Mayor
"Wajib Bayar : PT Truba Alam Manunggal Engineer Tbk, tidak muncul tagihan dari pengembalian pelimpahan PUPN",Mayor
"Ketika melakukan review, opsi nama approver belum tampil",Mayor
Menu Transaksi belum ada sub menu Penyisihan Piutang pada akun Inputer,Mayor
menu pemasukan kas belum tampil di user irma.wahyuni,Mayor
"Setelah melakukan tambah data, data yang sudah ditambahkan tidak muncul di tabel dasar pengenaan",Mayor
"ketika melakukan review data yang sudah di review sebelumnya, tampilan menjadi error",Mayor
"ketika melakukan review dengan klik review lalu pada pop up konfirmasi pilih button batal, button review nya tidak muncul kembali",Mayor
tidak bisa melakukan download template,Mayor
tidak bisa melakukan hapus data pemasukan kas,Mayor
belum ada button review pada user reviewer,Mayor
belum ada button review pada user reviewer,Mayor
tidak bisa melakukan registrasi,Mayor
notifikasi validasi mandatory untuk opsi keputusan belum muncul,Mayor
tanggal permohonan bisa di set melewati tanggal permohonan diterima,Mayor
tanggal keputusan bisa di set melewati tanggal tanggapan,Mayor
ketika klik simpan data langsung tersimpan tanpa ada pop up konfirmasi,Minor
persetujuan keputusan keberatan tidak masuk ke audit trail,Mayor
Placeholder tidak ada di semua kolom,Kosmetik
"ketika melakukan tambah data lalu klik simpan, pop konfirmasi simpan tidak muncul, tampilan langsung pop up sukses simpan",Minor
Ketika berhasil Setujui transaksi Konfirmasi Nilai Emisi jurnal belum tampil,Mayor
opsi wajib bayar tidak tampil pada dropdown filter,Mayor
"ketika melakukan tambah data, kolom penjamin emisi efeknya tidak muncul",Mayor
audit trail ketika ubah data Transaksi Dasar Pengenaan Kumulatif belum tampil,Mayor
Tidak bisa melakukan cetak data,Mayor
Tidak bisa melakukan cetak data,Mayor
Tidak bisa melakukan cetak data,Mayor
"ketika dokumen dengan status perlu di setujui, pada form masih terdapat opsi diajukan approval kepada",Mayor
Saat melakukan setting pada Master Periode Sanksi Error,Fatal
Menu Periode Sanksi belum ada di Master Data,Mayor
Saat upload file lampiran tidak berhasil,Mayor
"Audit trail Keputusan keberatan hanya menampilkan \""Review\"" dan \""Tambah\"", tanpa menampilkan \""Disetujui\""",Mayor
error saat Disetujui tapi berhasil saat Ditolak,Mayor
