Log Temuan,Kategori
Tampilan form tambah &amp; edit belum sesuai mockup<br>,Minor
Urutan list data tabel pada hasil export excel tidak sesuai aplikasi<br>,Minor
"Tombol Download berantakan, tidak rata baik komponen semua, atau semua industri&nbsp;",Kosmetik
tulisannya masih SIPM Fixed Report dll. belum sesuai dengan nama aplikasi saat ini (SIPKK),Mayor
"Idealnya tab username, password dan captcha kosong. Kondisi existing sudah terisi (SS). Kondisi idealnya harusnya (SS1)<br>",Kosmetik
saat di klik belum berfungsi,Mayor
"1. Jumlah pada tabel ""Data rekapitulasi informasi risk asesmen KAP"" seharusnya hanya mengambil berdasarkan data 6 tahun terakhir di tabel ""Data Riwayat Pemeriksaan KAP"" (Gambar 1)<br><br>2. Beberapa KAP pada kolom ""Kepatuhan"" masih belum menampilkan jumlah yang sesuai (gambar 2)<br><br>3. Jika datanya kosong, data tertulis berbeda, ada yang - atau 0 (gambar 3)<br><br>4. data pada kolom ""Sanksi administrasi"" belum sesuai (gambar 4)<br>",Mayor
notif gagal import dimohon untuk menggunakan Bahasa Indonesia<br>,Kosmetik
"Fungsi pagination belum sesuai, mohon dicek kembali, cek semua pagination apda setiap menu",Mayor
"Ketika pilih pada Page Size, tampil Internal Server Error",Mayor
Typo di header<br><br>Adjust ke semua risiko<br><br>Adjust ke export PDF dan excel,Kosmetik
"1. Konten rasio blm sesuai dengan template (SS)<br><br>2. Numbering blm urut (SS1, SS2)<br><br>Adjust ke export PDF dan excel",Minor
1. Fitur search error (gambar 1)<br><br>2. Hasil search tidak sesuai input (gambar 2)<br>,Mayor
"Ketika klik Delete, tidak ada respon apaun dari server",Mayor
Saat merubah Perusahaan dan periode laporan muncul error seperti pada ss,Fatal
harusnya pada drafter belum ada tombol SETUJUI,Mayor
"Posisi saat ini sedang review, namun pada tabel Konseptor, list adanya drafter dan approver, dan username belum sesuai. cek lampiran",Mayor
"1. Field mandatory belum diberikan simbol&nbsp;<b>* (lakukan untuk semua field yang mandatory)</b><br>2. saat tambah data, reset tidak mereset sektor<br>3. klik detail data, pilih salah satu data, lalu klik ubah data, notifikasi pada kata di ubah harusnya <b>diubah</b><br>4. Field mandatory pada <b>tambah data</b> belum diberikan simbol <b>*</b><br>5. Saat tambah data, notifikasi pada kata di tambahkan seharusnya <b>ditambahkan</b>",Minor
"1. Konten rasio blm sesuai dengan template (SS)<br><br>2. Numbering blm urut (SS1, SS2)<br><br>Adjust ke export PDF dan excel",Minor
"Saat berhasil menambahkan data, notifikasi pada kata di tambahkan harusnya&nbsp;<b>ditambahkan</b>",Kosmetik
"ketika mau ajukan proses, tampil modal ajukan proses, namun tulisan AJUKAN APPROVER atau AJUKAN CHECKER tidak utuh (bertumpuk dengan radio button)",Minor
"Ketika klik Delete, tidak ada respon apapun dari server",Mayor
Semua fungsi filter tidak berjalan. Muncul notif error (SS).&nbsp;<br><br>Adjust ke export PDF dan excel,Mayor
Kolom riwayat konseptor harusnya engga bisa diisi (SS)<br><br>Adjust ke export PDF dan excel,Minor
"Drafter submited ke checker, klik export PDF/excel muncul error (SS)",Fatal
"1. Kalo udh submited dr drafter, harusnya konseptor disini akan diisi detail role yg akan bekerja (tp ini yg ke record cuma drafter &amp; approver), checkernya ilang (SS)<br><br>2. Typo (SS1)<br><br>Adjust ke export PDF dan excel",Minor
"Ajukan Proses > Ajukan Checker > Klik Pilih, modal tampil dibelakang modal Ajukan Proses",Mayor
"tanggal penunjukan, antara tanggal dan jam belum terdapat pemisah, kasih jarak atau separator",Kosmetik
"1. Penamaan PIC sektor tidak konsisten (IKNB)<br><br>2. Ketika melakuan filter data IKNB, data tidak muncul dikarenakan penamaan tidak konsisten<br>",Mayor
1. Klik Batal&gt;muncul notif gagal&gt;tp aksinya ga aktif (harusnya aksinya akan muncul 3 button lg) (SS),Fatal
"nilai awal, koreksi, akhir, untuk akun rasio belum ada.",Mayor
"Based on konfirmasi dari DPEA. Seharusnya button yg muncul setiap role sbb:<br>1. Drafter dan Reviewer: Simpan, Submit, Preview<br>2. Approver: Revisi dan Setujui",Minor
"Based on konfirmasi dari DPEA. Seharusnya button yg muncul setiap role sbb:<br>1. Drafter dan Reviewer: Simpan, Submit, Preview<br>2. Approver: Revisi dan Setujui",Minor
"kondisi setelah approve, klik tombol batal > Submit

tampil, Data Gagal disimpan",Fatal
"pada header tabel komponen posisi, nilaiAwal, NilaiKoreksi, NilaiAkhir belum ada pemisah atau spasi",Kosmetik
"1. Text belum sesuai mockup (gambar 1)
<br><br>2. header tabel buat rata tengah<br>",Kosmetik
"1. belum ada kolom ""Sandi KAP"" sesuai struktur data (gambar 1)<br>",Minor
1. Fitur sorting tidak bekerja (gambar 1)<br>,Mayor
"Nilai pada Nilaiwal,koreksi,akhir sebaiknya rata kanan",Minor
"ketika akses http://10.224.60.106/PeerGroup tanpa melalui login terlebih dahulu, tampil error (seharusnya force ke halaman login)<br><br><i style="""">Object reference not set to an instance of an object.</i>",Mayor
Tombol submit filter dan reset filter pada sub menu Rekapitulasi Perbandingan DPP dan Penerimaan tidak berfungsi<br>,Mayor
"Based on konfirmasi dari DPEA. Seharusnya button yg muncul setiap role sbb:<br>1. Drafter dan Reviewer: Simpan, Submit, Preview<br>2. Approver: Revisi dan Setujui",Minor
"Data sudah dipilih, tp tidak ada update status (SS)",Mayor
"drafter sudah submit komponen posisi, pada reviewer belum ada notifikasi",Mayor
tombol export tidak dapat melakukan export data<br>,Mayor
"1. Export data belum terdapat kolom status<br>2. Export data tambahkan <b>header </b>sesuai dengan menunya contoh <b>Master Data - Nilai Probabilitas</b><br>3. Pada<b>&nbsp;</b><b>export&nbsp;</b><b>nilai probabilitas detil, belum terdapat kolom status, </b>tambahkan <b>header </b>contoh <b>Master Data - Nilai Probabilitas Sektor xxx Tahun xxx versi xx</b>",Mayor
"filter : apabila hanya diisi periode awal, maka klik filter tampil error",Mayor
tidak dapat delete data,Mayor
data yang berhasil di-import belum tampil<br>,Mayor
"pilih pada Filter <b>tidak aktif</b>, lalu pilih salah satu data dan ubah status menjadi <b>aktif</b>, muncul <b>notifikasi berhasil ubah status</b>, namun <b>status tidak berubah</b>",Fatal
Setiap proses pengajuan/review/approver seharusnya muncul notif (SS)<br><br>Adjust ke All Rasio,Minor
1. Konten rasio blm sesuai dengan template (SS)<br><br>2. Numbering blm urut (SS)<br><br>Adjust ke export PDF dan excel,Minor
1. Konten rasio blm sesuai dengan template (SS)<br><br>2. Numbering blm urut&nbsp;<br><br>Adjust ke export PDF dan excel,Minor
1. Konten rasio blm sesuai dengan template (SS)<br><br>2. Numbering blm urut&nbsp;<br><br>Adjust ke export PDF dan excel,Minor
"1. Seharusnya kalo udh di approve, tiap kolom akan muncul data terkait (SS)",Minor
1. Konten rasio blm sesuai dengan template (SS)<br><br>2. Numbering blm urut&nbsp;<br><br>Adjust ke export PDF dan excel,Minor
"terdapat icon tidak diperlukan, lebih baik dihapus saja. (SS)",Kosmetik
1. Konten rasio blm sesuai dengan template (SS)<br><br>2. Numbering blm urut&nbsp;<br><br>Adjust ke export PDF dan excel,Minor
"1. Ketika dilakukan sortir Ascending / Descending, penomoran pada item tidak berubah. (SS)<br><br>2. Setelah dilakukan sortir tsb, hasil export tidak mengikuti perubahan urutan secara Ascending / Descending. (SS)",Mayor
"label mandatory belum ada, mohon ditambahkan. (SS)",Minor
"Fungsi sortir pada kolom ""No."" tidak berfungsi. (SS)",Minor
"1. Ketika dilakukan sortir Ascending / Descending, penomoran pada item tidak berubah. (SS)<br><br>2. Setelah dilakukan sortir tsb, hasil export tidak mengikuti perubahan urutan secara Ascending / Descending. (SS)",Mayor
"untuk dati I dan dati II masih berupa sandi, tolong dibuatkan sesuai nama dati tsb",Minor
"setting pada CAM pengumuman tanggal 05/02/2025 namun pada Beranda SIPKK tidak tampil, tapi tampil pada LIHAT SEMUA PENGUMUMAN",Mayor
Periode 2025 masih blm ada di dropdown (SS),Minor
"Ketika berada Halaman Lihat Semua Pengumuman, 
tidak dapat mengakses / expand sub Menu",Mayor
Periode 2025 masih blm ada di dropdown (SS)&nbsp;,Minor
"kondisi: sedang pada halaman beranda, notifikasi Pesan tampil angka 1, 
kondisi: ketika pada halaman selain beranda, notifikasi pesan tidak tampil angka",Mayor
Header pada export excel masih blm sesuai di web,Minor
kolom isi pesan belum tidak rapi,Mayor
Header pada export excel masih blm sesuai di web,Minor
"Ketika klik log koreksi, breadcrumb masih tidak sesuai, krn jadi berubah (SS)",Minor
header dibuat center,Kosmetik
"tidak ada panah sub menu Profil, Ganti peran ketika sedang berada pada halaman todolist atau halaman selain beranda",Mayor
inkonsisten penggunaan Scrollbar dan Pagination,Minor
"ketika aksi ubah paramater, klik Ubah, tampil halaman error",Mayor
Header dibuat center,Kosmetik
Nilai Rasio pada Risiko - ITE <br>- Likuiditas<br>- Pasar<br>- Permodalan<br>- Rentabilitas<br>- Kredit<br><br>belum tampil,Fatal
"1. By default, seharusnya kalo blm ada periode yang di filter, maka interface akan kosong (SS)<br><br>2. Kalo klik reset, idealnya interface data akan kosong",Minor
nama kolom mohon untuk diratatengahkan<br>,Kosmetik
"Tombol Download berantakan, tidak rata<br><br><br>(K)",Kosmetik
nama kolom mohon untuk diratatengahkan (aplikasi dan hasil export)<br>,Kosmetik
"1. tombol ""submit filter"" dan ""reset filter"" tidak berfungsi<br><br>2. Data hasil export tidak sesuai dengan data yang ada pada aplikasi<br>",Mayor
Konten rasio blm sesuai dengan template (ss)<br><br>Nama kolom pada bulan masih belom sesuai (ss1)<br><br>(K),Minor
Header pada export excel masih blm sesuai di web,Minor
belum terdapat log/catatan terkait upaya log on yang gagal dan berhasil,Fatal
dapat login tidak sesuai dengan passwordnya,Fatal
radio button dan label tumpang tindih,Kosmetik
"Role Perizinan masih dapat mengakses halaman 'Risk Assesment', seharusnya tidak bisa sesuai T11. (SS)",Fatal
"Ketika klik Delete, tidak ada respon apapun dari server
<br><br>(K)",Mayor
"1. nama kolom mohon untuk diratatengahkan (aplikasi dan hasil export)<br><br>2. Saat Tambah Data Sanksi KAP, mohon untuk isian yang dapat diisi/edit tidak berwarna gelap<br>",Kosmetik
Saat hapus salah satu baris hasil dari unggah template terdapat error,Mayor
unduh template P2PL isinya bkn P2PL,Mayor
"1. Ketika klik tambah data likuiditas (berhubung ada delay), dan button tambah data masih bisa diklik sehingga menyebabkan data muncul double. <br><br>Idealnya ketika klik tambah data seharusnya muncul sign loading dan button tambah data harusnya disable (SS)",Minor
sdh klik simpan pada unggah metadata output namun sheet tidak muncul di list,Mayor
"1. Seharusnya edit data tidak bisa dihapus (SS). Kalopun memang bisa dihapus, button hapus tidak berfungsi&nbsp;<br>",Minor
"1. tombol ""reset filter"" tidak berfungsi<br><br>2. header pada kolom hasil export belum rata tengah seperti pada web<br><br>3. tombol ""reset"" pada aksi edit data tidak berfungsi<br>",Mayor
"tampilkan sheet, pilih summary keuangan, cari pada nama data laba, lalu hapus salah satu data yg tampil, muncul notifikasi berhasil, namun data ttp ada pada list detil",Mayor
"Kolom nama tidak konsisten, ada yg menampilkan sandi ada yg tidak<br>",Mayor
Tidak ada list dropdown versi<br>,Mayor
Field mandatory belum diberikan simbol * (lakukan untuk semua field yang mandatory)<br>,Minor
nama kolom mohon untuk diratatengahkan untuk aplikasi dan hasil exportnya<br>,Kosmetik
Data tidak tampil walaupun sudah diproses (menggunakan data september 2024 dan desember 2024),Mayor
Belum ada tombol kembali seperti pada mockup pada halaman edit dan detail<br>,Mayor
teks navigasi belum sesuai mockup.&nbsp;<b>lakukan untuk semua halaman master data</b><br>,Kosmetik
teks navigasi belum sesuai mockup.&nbsp;<b>lakukan untuk semua halaman master data</b><br>,Kosmetik
"1. Fitur sorting pada kolom No tidak bekerja (gambar 1)
<br><br>&nbsp;2. Fitur sorting pada kolom No akan hilang setelah melakukan sorting pada kolom lainnya
<br><br>3. Urutan list data tabel pada hasil export excel tidak sesuai aplikasi (gambar 2)<br>",Mayor
Konten rasio blm sesuai dengan template (ss)<br><br>(K),Minor
Konten rasio blm sesuai dengan <br>template (ss)<br><br>(K),Minor
teks navigasi belum sesuai mockup.&nbsp;<b>lakukan untuk semua halaman master data</b><br>,Kosmetik
"1. Fitur sorting pada kolom No tidak bekerja (gambar 1)
<br><br>2. Fitur sorting pada kolom No akan hilang setelah melakukan sorting pada kolom lainnya
<br><br>3. Urutan list data tabel pada hasil export excel tidak sesuai aplikasi (gambar 2)<br>",Mayor
"1. Jika klik Simpan tanpa mengisi form dengan status mandatory, Sandi KAP, STTD KAP, Nama KAPA/OAA dan Sandi KAPA/OAA terhapus<br><br>2. Dokumen Pendukung yang ditambahkan tidak tersimpan saat ditambahkan<br><br>3. saat Simpan data, belum ada notifikasi/popup data berhasil disimpan jika data berhasil disimpan<br><br>4. Nama kolom pada hasil Export mohon diratatengahkan&nbsp;<br>",Mayor
Konten rasio blm sesuai dengan<br>template (ss)<br><br>(K),Minor
1. Header pada kolom hasil export belum rata tengah seperti pada web<br><br>2.&nbsp; Data tahun LPKJ dan Tahun EKAP tidak menghilang ketika dilakukan reset filter<br>,Mayor
"Konten rasio blm sesuai dengan template (ss)
<br><br>saat baru melakukan tambah data seharusnya belum ada user create dan approved (ss1)<br><br>&nbsp;(K)",Minor
Konten rasio blm sesuai dengan template (ss)<br><br>saat baru melakukan tambah data seharusnya belum ada user create dan Reviewer (ss1)<br><br>&nbsp;(K),Minor
Konten rasio blm sesuai dengan template (ss)<br><br>saat baru melakukan tambah data seharusnya belum ada user create dan Reviewer (ss1)<br><br>&nbsp;(K),Minor
teks navigasi belum sesuai mockup.&nbsp;<b>lakukan untuk semua halaman master data</b><br>,Kosmetik
"1. Belum ada fitur sorting pada kolom No (gambar 1)<br><br>2. setelah klik tombol ubah status kemudian tidak jadi mengubahnya, ikon berubah menjadi tanda tanya ?&nbsp;<b>lakukan di semua tombol ubah status</b>&nbsp;(gambar 2)<br><br>3. Default sorting saat status&nbsp;<b>aktif&nbsp;</b>seharusnya&nbsp;<b>berdasarkan data yg baru ditambahkan</b>&nbsp;(gambar 3)<br><br>4. Default sorting saat status&nbsp;<b>tidak aktif</b>&nbsp;seharusnya&nbsp;<b>berdasarkan data yg baru dinonaktifkan</b>&nbsp;(gambar 4)<br>",Mayor
Urutan list data tabel pada hasil export excel tidak sesuai aplikasi<br>,Minor
"1. Tidak ada kolom status pada data hasil export seperti pada aplikasi<br><br>2. Data ""Pilih Sektor"" tidak tereset ketika menekan tombol reset ketika tambah data<br><br>3. Icon berubah ketika tidak jadi mengubah status dari aktif menjadi tidak aktif maupun sebaliknya<br>",Mayor
teks navigasi belum sesuai mockup.&nbsp;<b>lakukan untuk semua halaman master data</b><br>,Kosmetik
"User Create, User Reviewer dan User Approved tidak tampil<br><br>(K)",Mayor
"jika klik button Reset Filter setelah melakukan filter, indikator loading tidak kunjung hilang<br>",Minor
"1. saat edit data yg statusnya <b>aktif </b>kemudian langsung klik simpan tanpa edit apapun data bisa tersimpan, namun pada data yg statusnya <b>tidak aktif </b>saat langsung klik simpan<b>&nbsp;</b>terkena validasi<br><br>2. Default sorting saat status&nbsp;<b>tidak aktif</b>&nbsp;seharusnya&nbsp;<b>berdasarkan data yg baru dinonaktifkan</b>&nbsp;(gambar 1)<br>",Mayor
seharusnya ketika data aktif -&gt; pake ikon <b>Centang </b>(enable to disable) dan ketika data tidak aktif -&gt; pake ikon <b>X </b>(disable&nbsp;to&nbsp;enable)<br>,Minor
teks navigasi belum sesuai mockup.&nbsp;<b>lakukan untuk semua halaman master data</b><br>,Kosmetik
"1. belum ada fitur sorting pada kolon <b>No </b>(gambar 1)
<br><br>2. pada kolom sektor, sorting tidak bisa sorting <b>desceding </b>(gambar 1)<br><br>3. Default sorting saat status <b>aktif </b>seharusnya <b>berdasarkan data yg baru ditambahkan</b> (gambar 2)<br><br>4. setelah klik tombol ubah status kemudian tidak jadi mengubahnya, ikon berubah menjadi tanda tanya (?)&nbsp;<b>lakukan di semua tombol ubah status</b> (gambar 3)<br><br>5. Default sorting saat status <b>tidak aktif</b> seharusnya&nbsp;<b>berdasarkan data yg baru dinonaktifkan</b>&nbsp;(gambar 4)<br>",Mayor
Export data belum terdapat kolom <b>status </b>+ tambahkan header contoh <b>Master Data - Bobot Risiko</b>&nbsp;+ buat header excel dan aplikasi rata tengah (gambar 1)<br>,Mayor
nama kolom mohon diratatengahkan pada aplikasi dan hasil export<br>,Kosmetik
1. Icon berubah ketika tidak jadi mengubah status<br><br>2. Icon ubah status data seharusnya menggunakan icon tanda silang<br>,Kosmetik
1. ukuran Font tidak sesuai dengan yang lain<br><br>2. untuk isian yang bisa diedit mohon diubah ke warna putih<br>,Kosmetik
teks navigasi belum sesuai mockup.&nbsp;<b>lakukan untuk semua halaman master data</b><br>,Kosmetik
"1. Tidak ada kolom status pada data hasil export seperti pada aplikasi<br><br>2. Data ""Pilih Sektor"" tidak tereset ketika menekan tombol reset ketika tambah data<br><br>3. Icon berubah ketika tidak jadi mengubah status dari tidak aktif menjadi aktif maupun sebaliknya<br>",Minor
"1. sorting nilai selalu asceding (gambar 1)<br><br>2. Hasil export belum ada kolom status + tambahkan header contoh&nbsp;<b>Master Data - Bobot Risiko Sektor xxx Tahun xxx versi xx&nbsp;</b>+ buat header excel dan aplikasi rata tengah<b>&nbsp;</b>(gambar 2)<br><br>3. seharusnya tidak bisa tambah &amp; edit data bila deskripsinya sama dengan data sebelumnya (gambar 3)<br><br>4. Default sorting saat status&nbsp;<b>tidak aktif</b>&nbsp;seharusnya&nbsp;<b>berdasarkan data yg baru dinonaktifkan</b>&nbsp;(gambar 4)<br><br>5. saat membuka halaman detail, muncul pesan error + data tabel tidak tampil<br>",Mayor
1. Jumlah items di sebelah page masih salah (SS)<br><br>2. Klik button dropdown page size masih muncul notif error (SS1)<br>,Mayor
1. Jumlah items di sebelah page masih salah (SS)<br><br>2. Klik button dropdown page size masih muncul notif error (SS)<br><br>3. Kolom login dan logout masih kosong (SS1)<br><br>4. Coba login &amp; logout tgl 7 Februari tp data tidak terupdate (SS),Mayor
radio button dan label tumpang tindih (SS),Kosmetik
1. Tidak ada kolom status pada data hasil export seperti pada aplikasi<br><br>2. Icon berubah ketika tidak jadi mengubah status dari aktif menjadi tidak aktif maupun sebaliknya pada Supervisory Attention Index Detail<br>,Minor
setelah melakukan tes dan posting tapi datanya masih&nbsp;belom&nbsp;tampil<br><br>(K),Mayor
"saat baru buka menu berikut, muncul pesan error + gagal menampilkan&nbsp;data&nbsp;tabel<br>",Mayor
Data dari SIPO belum bisa diuji<br>,Mayor
"nama file export pada hasil export Riwayat Teguran/Peringatan Tertulis berdasarkan POJK AP/KAP dalam 2 Tahun terakhir dan Riwayat Pembekuan dalam 3 Tahun terakhir, file extentionnya double<br>",Kosmetik
hasil export tab Riwayat Pembekuan dalam 3 Tahun Terakhir belum tampil<br>,Mayor
"Pada<b>&nbsp;</b><b>export&nbsp;</b><b>nilai probabilitas detil,&nbsp;</b>&nbsp;<b>header&nbsp;</b>kurang sektor sesuai yang dipilih&nbsp; harusnya&nbsp;Master Data - Nilai Probabilitas<b> Sektor</b> <b>IKNB</b> Tahun 2025 versi 1",Minor
nama kolom pada hasil export mohon untuk diratatengahkan<br>,Kosmetik
teks navigasi belum sesuai mockup. <b>lakukan untuk semua halaman master data</b><br>,Kosmetik
"1. Fitur sorting pada kolom <b>Tahun </b>dan <b style="""">Versi </b>tidak bekerja (gambar 1)<br><br>2. fitur sorting pada kolom <b>No </b>belum ada (gambar 1)<br><br>3. setelah klik tombol ubah status kemudian tidak jadi mengubahnya, ikon berubah menjadi tanda tanya ?&nbsp;<b>lakukan di semua tombol ubah status</b>&nbsp;(gambar 2)<br><br>4. Default sorting saat status&nbsp;<b>aktif&nbsp;</b>seharusnya&nbsp;<b>berdasarkan data yg baru ditambahkan</b><br><br>5. Default sorting saat status&nbsp;<b>tidak aktif</b>&nbsp;seharusnya&nbsp;<b>berdasarkan data yg baru dinonaktifkan</b><br>",Mayor
Idealnya interface pada SS yg ini masih bisa diubah filter IJK &amp; periode nyaa (SS)<br>,Minor
Export data belum terdapat kolom status + tambahkan header contoh Master Data - Nilai Dampak + buat header excel dan aplikasi rata tengah (gambar 1)<br>,Mayor
buat header tabel pada excel dan <b>aplikasi </b>rata tengah<br>,Minor
buat header tabel pada excel dan <b>aplikasi</b> rata tengah<br>,Minor
teks navigasi belum sesuai mockup. <b>lakukan untuk semua halaman master data</b><br>,Kosmetik
1. Export data <b>belum terdapat kolom status</b> + tambahkan header contoh Master Data - <b>Nilai Dampak&nbsp;Sektor xxx Tahun xxx versi xx</b>&nbsp;+ buat header excel&nbsp;&nbsp;<b>rata tengah</b> (gambar 1)<br><br>2. Urutan list data tabel pada hasil export excel tidak sesuai aplikasi (gambar 1)<br>,Mayor
"Tombol ubah status berubah, ketika batal melakukan perubahan status. (SS)
<br><br>*Mohon sesuaikan untuk semua jenis fitur yg sama",Minor
penulisan contoh total nilai belum sesuai mockup<br>,Kosmetik
"1. seharusnya hanya Jenis Sanksi ""<b>Sanksi - Denda</b>"" dan ""<b>Upaya Penagihan - Surat Teguran 1 terkait Denda/Pungutan</b>""<br><br>2. jika edit dokumen, isi <b>Dokumen Pendukung</b> pindah ke&nbsp;<b>Upload Surat Sanksi </b>dan Dokumen Pendukung jadi kosong<br>",Mayor
"1. labeling <b>""jenis aksi""</b> pada tabel belum disesuaikan dengan labeling <b>""aksi""</b> pada&nbsp;filter&nbsp;data<br><br>2. Penulisan kata <b>""Aktifitas""</b> seharusnya menjadi <b>""Aktivitas""<br></b><br>3. Urutan data pada file hasil export dan pada aplikasi berbeda<br>",Minor
seharusnya ketika data aktif -&gt; butten ubah&nbsp;pake ikon <b>Centang</b> (enable to disable) dan ketika data tidak aktif -&gt; pake ikon <b>X </b>(disable to enable)<br>,Minor
"data yg statusnya <b>tidak aktif</b>, setelah klik ubah status datanya tidak berubah jadi <b>aktif<br></b>",Mayor
seharusnya ketika data aktif -&gt; button ubah pake ikon <b>Centang </b>(enable to disable) dan ketika data tidak aktif -&gt; pake ikon <b>X </b>(disable to enable)<br>,Minor
"1. header tabel aplikasi dan file excel export buat rata tengah<br><br>2. pada menu sektor, list urutan data di excel tidak sesuai dengan aplikasi.<br><br>3. pada menu sektor, buat kolom <b>No </b>melekat dengan datanya saat di sorting<br>",Mayor
Hasil Export masih menampilkan html code. (SS),Minor
"Typo pada ""Body Content"". (SS)",Kosmetik
list urutan data di excel tidak sesuai dengan aplikasi. seharusnya urut dari tanggal terbaru<br>,Mayor
masih bisa tambah atau edit&nbsp;<b>Total Nilai</b> dengan nilai asal (tidak seperti&nbsp;contoh)<br>,Mayor
Detail Data tidak bisa diakses<br>,Mayor
Detail Data tidak bisa diakses<br>,Mayor
Tidak bisa di akses<br>,Mayor
"Kenapa kalo proses loading udah selesai, muncul notif loading di last page (SS)",Minor
search blm berfungsi,Mayor
"1. untuk isi tabel, slain Nilai Pendanaan Outstanding dibuat rata kiri<br><br>2. footer pada export pdf dibuat pada seluruh halaman<br>",Minor
Kata <i>Summary</i> pada header dibuat italic<br>,Kosmetik
Edit Upload Surat Sanksi dan Dokumen Pendukung tidak bisa menggunakan extention ZIP<br>,Mayor
Judul tabel dibuat center,Kosmetik
Judul tabel dibuat center,Kosmetik
Judul tabel dibuat center,Kosmetik
"1. pada kolom informasi masih terdapat redundan no contoh informasi <b>1. Kas dan Setara Kas </b>padahal sdh ada kolom no<br><br>2. bulan tidak urut&nbsp;<br><br>3. pada export pdf, footer dibuat pada seluruh halaman<br><br>4.apabila data tidak tersedia sebaiknya tidak memunculkan laporan langsung diberikan message ""Data Tidak Tersedia""",Minor
List versi seharusnya diurutkan dari terkecil<br>,Minor
"1. pada kolom informasi masih terdapat redundan no contoh informasi&nbsp;<b>1. Pendapatan atas Komisi/Ujrah&nbsp;</b>padahal sdh ada kolom no<br><br>2.pada export pdf, footer dibuat pada seluruh halaman<br><br>4.apabila data tidak tersedia sebaiknya tidak memunculkan laporan langsung diberikan message ""Data Tidak Tersedia""",Minor
"1. pada kolom informasi masih terdapat redundan no contoh informasi&nbsp;<b>4. Deviden&nbsp;</b>padahal sdh ada kolom no<br><br>2.pada export pdf, footer dibuat pada seluruh halaman<br><br>3.apabila data tidak tersedia sebaiknya tidak memunculkan laporan langsung diberikan message ""Data Tidak Tersedia""",Minor
parameter <b>bobot risiko</b> belum tampil (gambar 1)<br>,Mayor
"1. pada kolom informasi masih terdapat redundan no contoh informasi&nbsp;<b>1.&nbsp;</b><b>Arus Kas Masuk dari Kegiatan Pembiayaan </b>padahal sdh ada kolom no<br><br>2.pada export pdf, footer dibuat pada seluruh halaman<br><br>3.apabila data tidak tersedia sebaiknya tidak memunculkan laporan langsung diberikan message ""Data Tidak Tersedia"" ",Minor
"1. Tulisain <i><b>Inclusivity </b></i>dibuat italic&nbsp;<br><br>2. Bulan tidak urut<br><br>3. Pada filter terdapat <b>jenis laporan</b>, sebaiknya Jenis Laporan dimunculkan juga pada tampilan laporan dan export.<br><br>4. Terdapat informasi yang belum ada pada aplikasi namun di template ada (<b>pastikan lagi sesuai template</b>)<br><br>5. No masih banyak yg kosong<br><br>6. Pada export pdf, footer dibuat pada seluruh halaman<br>",Mayor
1. penulisan header tabel belum sesuai mockup (gambar 1)<br><br>2. Button seharusnya <b>Reset</b>&nbsp;sesuai mockup (gambar 2)<br><br>3. seharusnya kolom <b>Rating </b>tidak ada <b>% </b>nya sesuai struktur data (gambar 3)<br>,Kosmetik
